task_id,condition,source,draws,passed,missing,pass_rate,lower,upper
atcoder/abc365_a,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc365_a,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc365_a,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc365_a,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc365_a,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc365_a,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc379_d,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc379_d,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc379_d,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc379_d,ROTATING_H,secondary_training_seed,3,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666
atcoder/abc379_d,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc379_d,B,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc379_d,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc379_d,P,reused_primary_native_reference,3,0,0,0.0,0.0,0.0
atcoder/abc374_c,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc374_c,ROTATING_M,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc374_c,FIXED_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc374_c,ROTATING_H,secondary_training_seed,3,3,0,1.0,1.0,1.0
atcoder/abc374_c,A,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc374_c,B,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc374_c,D,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc374_c,P,reused_primary_native_reference,3,3,0,1.0,1.0,1.0
atcoder/abc399_e,FIXED_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc399_e,ROTATING_M,secondary_training_seed,3,0,0,0.0,0.0,0.0
atcoder/abc399_e,FIXED_H,secondary_training_seed,3,0,0,0.0,0.0,0.0
