task_id,seed_index,answer_seed,perfect_seconds,removed_prefill_seconds,perfect_passed,A_minus_perfect_seconds,B_minus_perfect_seconds,D_minus_perfect_seconds,ROTATING_H_minus_perfect_seconds
atcoder/abc391_b,1,6704151612643939683,365.3864795244299,0.5180379329249263,True,15.271107078529894,-131.93338756030425,0.5180379329249263,1.434615961741656
atcoder/abc391_b,2,6030951239639502788,364.5549236466177,0.5180379329249263,True,16.10497937630862,-130.86436610436067,0.5180379329249263,2.7324539218097925
atcoder/abc371_c,0,7485436947798134477,472.9192353626713,0.7949440842494369,True,18.04185511218384,-61.596726569347084,0.7949440842494369,-2.030710667837411
atcoder/abc371_c,1,5228355335334481423,477.1915059071034,0.7949440842494369,True,14.362261112779379,-66.06138805346563,0.7949440842494369,-4.19751918502152
atcoder/abc371_c,2,2642490129321153346,471.92989893304184,0.7949440842494369,True,18.513345629908144,-56.69219790305942,0.7949440842494369,0.02393343299627304
atcoder/abc393_a,0,8259698016691352581,95.51942367525771,0.19883873593062162,True,1.8253580834716558,17.330015146639198,0.19883873593062162,100.93785989237949
atcoder/abc393_a,1,297048068263998251,95.47733791032806,0.19883873593062162,True,3.0467385738156736,15.314068876672536,0.19883873593062162,8.823382809292525
atcoder/abc393_a,2,7216287730741849612,95.75109583605081,0.19883873593062162,True,2.5593514470383525,16.95001859497279,0.19883873593062162,1.5068263397552073
leetcode/3763,0,773949148288682906,414.6612169290893,0.5620396360754967,False,19.596493396908045,-126.52154281409457,0.5620396360754967,4.034788463730365
leetcode/3763,1,8903935628087030339,415.9567025876604,0.5620396360754967,False,16.7737471498549,-127.8592705396004,0.5620396360754967,5.585362465586513
leetcode/3763,2,9020912472600228931,415.1352041196078,0.5620396360754967,False,15.58171006757766,-128.4666194850579,0.5620396360754967,0.9617806007154286
atcoder/abc400_g,0,3457906892672981288,1097.5684902551584,2.257070494815707,False,17.94674472603947,-440.1110038650222,2.257070494815707,3.5638631167821586
atcoder/abc400_g,1,2976934537790601565,1097.6471663881093,2.257070494815707,False,22.964040672406554,-441.17325799167156,2.257070494815707,141.0520586478524
atcoder/abc400_g,2,2044992675538090211,1097.5167477028444,2.257070494815707,False,20.54958217171952,-440.1077424902469,2.257070494815707,6.308564373292029
leetcode/3502,0,1754138847883249071,366.7342843920924,0.4706213832832873,True,18.449487059377134,91.83871249295771,0.4706213832832873,1.0438586631789804
leetcode/3502,1,3780842152981012307,365.81418677652255,0.4706213832832873,True,17.873216790147126,94.70115606486797,0.4706213832832873,1.3315987074747682
leetcode/3502,2,2128145961303118128,365.23914775485173,0.4706213832832873,True,16.664882528595626,92.6032401677221,0.4706213832832873,0.9591437405906618
atcoder/abc385_a,0,4044029731023674020,405.4644940989092,0.5604520780034363,True,10.597685005515814,-7.393297997303307,0.5604520780034363,0.970234296284616
atcoder/abc385_a,1,223997586439075767,404.74245957424864,0.5604520780034363,True,13.553199327550828,-7.5838605291210115,0.5604520780034363,2.2701038997620344
atcoder/abc385_a,2,7538539520049798580,402.3622412858531,0.5604520780034363,True,11.77309941034764,-5.276837587356567,0.5604520780034363,3.024943674914539
atcoder/abc373_b,0,1356165232149229952,261.3183411662467,0.37787430780008435,True,13.981638742145151,-156.7466531158425,0.37787430780008435,4.124484041240066
atcoder/abc373_b,1,6863191953479434355,260.7770100310445,0.37787430780008435,True,15.43742798967287,-158.2356794057414,0.37787430780008435,0.791410893201828
atcoder/abc373_b,2,4286773374730783216,260.6868848539889,0.37787430780008435,True,16.242267749272287,-158.50219584070146,0.37787430780008435,2.1023299214430153
leetcode/3518,0,4375901287293014945,1067.0520232943818,1.7210739459842443,True,27.217846715357155,-767.8180960183963,1.7210739459842443,-0.6197671056725085
leetcode/3518,1,3670050756944745690,1066.9196591516957,1.7210739459842443,True,28.156729151960462,-764.5136382495984,1.7210739459842443,-4.161783100571483
leetcode/3518,2,8691967574826319061,1067.776800291147,1.7210739459842443,True,23.843564932234585,-769.3444595211186,1.7210739459842443,-4.347866292577237
atcoder/abc377_b,0,7752929249418994934,299.746350036934,0.42540611093863845,True,-9.591017128899693,-71.39193406049162,0.42540611093863845,0.5913550397381186
atcoder/abc377_b,1,8484908295077021,286.08591044833884,0.42540611093863845,True,33.61521921586245,-60.00319476937875,0.42540611093863845,1.4075708761811256
atcoder/abc377_b,2,2498703345604098299,300.96998557727784,0.42540611093863845,True,-10.842891086358577,-74.88155903015286,0.42540611093863845,3.159096864517778
leetcode/3832,0,2378700282511147283,751.2071028333157,1.1121407798491418,True,15.263400710187852,-113.05859011504799,1.1121407798491418,4.144338706508279
leetcode/3832,1,4795241840599314823,752.993387308903,1.1121407798491418,True,13.314586041960865,-117.37916540913284,1.1121407798491418,4.475675693247467
leetcode/3832,2,8828063187460743571,753.2164844307117,1.1121407798491418,True,12.050558588001877,-115.48138795560226,1.1121407798491418,1.9431709735654294
atcoder/abc391_e,0,3511687230791900604,918.144541835878,1.5345067558810115,True,27.177892175503075,101.41743821045384,1.5345067558810115,74.24848390743136
atcoder/abc391_e,1,8175608921276052948,915.3343322779983,1.5345067558810115,True,25.735884501133114,103.27451413683593,1.5345067558810115,23.58699598023668
atcoder/abc391_e,2,3015505181836250825,917.358155711554,1.5345067558810115,True,24.822993551380932,101.17366624437273,1.5345067558810115,-0.5511219999752939
atcoder/abc368_c,0,2909760556700491681,415.6307719149627,0.7601951793767512,True,14.48125167703256,-77.80040819337592,0.7601951793767512,4.196491103153676
atcoder/abc368_c,1,1289215818928398114,416.4691298431717,0.7601951793767512,True,-7.319122234825045,-80.4651327719912,0.7601951793767512,38.46289619104937
atcoder/abc368_c,2,6254297411151131064,416.5604232577607,0.7601951793767512,True,-9.364856598898768,-79.30366996489465,0.7601951793767512,18.08436827454716
leetcode/3495,0,1565173918879786362,348.44281297083944,0.5925575718283653,True,12.308243789710104,-105.48416058626026,0.5925575718283653,-1.059254515916109
leetcode/3495,1,9024984332847701240,350.0658194744028,0.5925575718283653,True,7.818427753634751,-105.66455679852515,0.5925575718283653,-0.6413589986041188
leetcode/3495,2,3212088158489730827,347.6942564789206,0.5925575718283653,True,11.552653377875686,-102.89370057638735,0.5925575718283653,1.8990964218974113
